subjectID,Start,Object_1,Object_2,congruence,correctness,tooSlow,trialNumber,displayedResponseTime,attention
4,BS,S,S,False,True,False,6,350.0,
4,SB,B,S,True,True,False,7,333.33333333333337,
4,BS,B,S,True,True,False,8,350.0,
4,SB,S,B,True,True,False,9,383.33333333333337,
4,SB,S,B,True,True,False,10,233.33333333333331,
4,BS,B,S,True,True,False,11,283.33333333333337,
4,SB,B,S,True,True,False,12,350.0,
4,SB,S,S,False,True,False,13,266.6666666666667,
4,SB,B,B,False,True,False,14,350.0,
4,BS,S,S,False,True,False,15,333.33333333333337,
4,SB,S,S,False,True,False,16,333.33333333333337,
4,BS,B,S,True,True,False,17,333.33333333333337,
4,SB,B,S,True,True,False,18,316.6666666666667,
4,BS,S,B,True,True,False,19,533.3333333333334,
4,BS,S,S,False,True,False,20,250.00000000000003,
4,BS,B,B,False,True,False,21,266.6666666666667,
4,BS,S,B,True,True,False,22,250.00000000000003,
4,SB,B,S,True,True,False,23,400.0,
4,SB,B,B,False,True,False,24,300.0,
4,BS,S,S,False,True,False,25,366.6666666666667,
4,BS,B,S,True,True,False,26,466.6666666666667,
4,SB,S,S,False,True,False,27,316.6666666666667,
4,SB,B,S,True,False,False,28,250.00000000000003,
4,BS,B,S,True,True,False,29,333.33333333333337,
4,SB,B,B,False,True,False,30,316.6666666666667,
4,SB,S,S,False,True,False,31,716.6666666666667,
4,BS,S,S,False,True,False,32,333.33333333333337,
4,SB,S,B,True,True,False,33,266.6666666666667,
4,SB,S,S,False,True,False,34,366.6666666666667,
4,BS,B,S,True,True,False,35,283.33333333333337,
4,SB,B,S,True,True,False,36,316.6666666666667,
4,SB,S,B,True,True,False,37,383.33333333333337,
4,BS,S,S,False,True,False,38,366.6666666666667,
4,BS,B,B,False,True,False,39,383.33333333333337,100.0
5,BS,B,S,True,True,False,0,516.6666666666667,
5,BS,B,B,False,False,False,1,416.6666666666667,
5,BS,S,S,False,True,False,2,850.0000000000001,
5,SB,B,S,True,True,False,3,783.3333333333334,
5,BS,B,S,True,True,False,4,616.6666666666667,
5,BS,B,B,False,True,False,5,583.3333333333334,
5,BS,S,S,False,True,False,6,766.6666666666667,
5,SB,B,S,True,True,False,7,633.3333333333334,
5,BS,S,B,True,True,False,8,600.0,
5,SB,S,S,False,True,False,9,616.6666666666667,
5,SB,B,B,False,True,False,10,650.0,
5,SB,B,S,True,True,False,11,633.3333333333334,
5,SB,S,S,False,True,False,12,633.3333333333334,
5,SB,S,B,True,True,False,13,616.6666666666667,
5,BS,B,S,True,True,False,14,500.00000000000006,
5,BS,S,S,False,True,False,15,666.6666666666667,
5,BS,B,B,False,True,False,16,800.0,
5,SB,S,S,False,True,False,17,750.0,
5,BS,B,S,True,True,False,18,683.3333333333334,
5,BS,S,S,False,True,False,19,683.3333333333334,
