subjectID,Start,Object_1,Object_2,congruence,correctness,tooSlow,trialNumber,displayedResponseTime
1,BS,B,S,True,False,True,0,1983.3333333333333
1,SB,B,B,False,True,False,1,600.0
1,BS,S,B,True,True,False,2,683.3333333333334
1,BS,S,S,False,True,False,3,466.6666666666667
1,SB,S,S,False,True,False,4,850.0000000000001
1,SB,S,B,True,True,False,5,450.00000000000006
1,SB,B,S,True,True,False,6,566.6666666666667
1,BS,B,B,False,True,False,7,583.3333333333334
1,BS,S,S,False,True,False,8,500.00000000000006
1,BS,B,B,False,False,False,9,816.6666666666667
1,SB,B,S,True,True,False,10,683.3333333333334
1,SB,B,B,False,True,False,11,666.6666666666667
1,BS,S,B,True,True,False,12,716.6666666666667
1,SB,S,B,True,True,False,13,616.6666666666667
1,BS,B,S,True,True,False,14,700.0
1,SB,S,S,False,True,False,15,866.6666666666667
1,SB,S,S,False,True,False,16,566.6666666666667
1,SB,S,B,True,True,False,17,566.6666666666667
1,BS,B,B,False,True,False,18,616.6666666666667
1,SB,B,B,False,False,True,19,1983.3333333333333
1,BS,S,S,False,True,False,20,750.0
1,SB,B,S,True,True,False,21,700.0
1,BS,B,S,True,True,False,22,633.3333333333334
1,BS,S,B,True,True,False,23,683.3333333333334
1,BS,S,B,True,True,False,24,800.0
1,SB,S,S,False,True,False,25,566.6666666666667
1,SB,B,B,False,True,False,26,616.6666666666667
1,BS,B,S,True,True,False,27,633.3333333333334
1,BS,S,S,False,True,False,28,1683.3333333333337
1,BS,B,B,False,False,False,29,666.6666666666667
1,SB,S,B,True,True,False,30,600.0
1,SB,B,S,True,True,False,31,416.6666666666667
1,BS,S,S,False,True,False,32,566.6666666666667
1,BS,B,B,False,True,False,33,766.6666666666667
1,BS,B,S,True,True,False,34,666.6666666666667
1,BS,S,B,True,True,False,35,600.0
1,SB,S,S,False,True,False,36,583.3333333333334
1,SB,B,B,False,True,False,37,783.3333333333334
1,SB,S,B,True,True,False,38,933.3333333333334
1,SB,B,S,True,True,False,39,783.3333333333334
2,BS,B,S,True,True,False,0,816.6666666666667
2,SB,S,B,True,True,False,1,766.6666666666667
2,BS,S,S,False,True,False,2,850.0000000000001
2,SB,S,S,False,True,False,3,733.3333333333334
2,BS,B,B,False,True,False,4,900.0000000000001
2,BS,S,B,True,True,False,5,733.3333333333334
2,SB,B,B,False,True,False,6,733.3333333333334
2,SB,B,S,True,True,False,7,750.0
2,SB,S,B,True,True,False,8,766.6666666666667
2,BS,B,S,True,True,False,9,883.3333333333334
2,SB,S,S,False,True,False,10,750.0
2,SB,B,S,True,True,False,11,966.6666666666669
2,BS,S,S,False,True,False,12,1200.0
2,SB,B,B,False,True,False,13,883.3333333333334
2,BS,B,B,False,True,False,14,766.6666666666667
2,BS,S,B,True,True,False,15,833.3333333333334
2,SB,S,B,True,True,False,16,783.3333333333334
2,BS,S,B,True,True,False,17,616.6666666666667
2,BS,B,B,False,True,False,18,733.3333333333334
2,SB,S,S,False,True,False,19,850.0000000000001
2,BS,S,S,False,True,False,20,733.3333333333334
2,SB,B,B,False,True,False,21,716.6666666666667
2,SB,B,S,True,True,False,22,1250.0
2,BS,B,S,True,True,False,23,1266.6666666666667
2,BS,S,S,False,True,False,24,733.3333333333334
2,SB,S,B,True,True,False,25,716.6666666666667
2,SB,S,S,False,True,False,26,933.3333333333334
2,BS,B,S,True,True,False,27,916.6666666666669
2,SB,B,S,True,True,False,28,1116.6666666666667
2,BS,S,B,True,False,True,29,1983.3333333333333
2,BS,B,B,False,True,False,30,733.3333333333334
2,SB,B,B,False,True,False,31,666.6666666666667
2,BS,S,B,True,True,False,32,716.6666666666667
2,SB,S,S,False,True,False,33,816.6666666666667
2,SB,B,B,False,True,False,34,766.6666666666667
2,BS,S,S,False,True,False,35,800.0
2,SB,S,B,True,True,False,36,800.0
2,BS,B,B,False,True,False,37,800.0
2,BS,B,S,True,True,False,38,800.0
2,SB,B,S,True,True,False,39,800.0
3,SB,B,S,True,True,False,0,1016.6666666666669
3,SB,B,B,False,True,False,1,666.6666666666667
3,BS,S,S,False,True,False,2,933.3333333333334
3,BS,B,S,True,True,False,3,683.3333333333334
3,BS,B,B,False,True,False,4,666.6666666666667
3,SB,S,B,True,True,False,5,633.3333333333334
3,BS,S,B,True,True,False,6,966.6666666666669
3,SB,S,S,False,True,False,7,833.3333333333334
3,BS,S,B,True,True,False,8,733.3333333333334
3,SB,B,B,False,True,False,9,566.6666666666667
3,BS,B,S,True,True,False,10,1083.3333333333337
3,SB,B,S,True,True,False,11,666.6666666666667
3,BS,B,B,False,True,False,12,600.0
3,SB,S,S,False,True,False,13,650.0
3,BS,S,S,False,True,False,14,716.6666666666667
3,SB,S,B,True,True,False,15,716.6666666666667
3,BS,B,B,False,True,False,16,650.0
3,SB,S,S,False,True,False,17,1583.3333333333337
3,SB,B,S,True,True,False,18,816.6666666666667
3,BS,B,S,True,True,False,19,650.0
3,BS,S,B,True,True,False,20,883.3333333333334
3,SB,S,B,True,True,False,21,900.0000000000001
3,SB,B,B,False,True,False,22,1866.6666666666667
3,BS,S,S,False,True,False,23,833.3333333333334
3,BS,S,S,False,False,True,24,1983.3333333333333
3,SB,B,B,False,True,False,25,950.0
3,SB,B,S,True,False,True,26,1983.3333333333333
3,BS,S,B,True,True,False,27,600.0
3,BS,B,S,True,True,False,28,866.6666666666667
3,BS,B,B,False,True,False,29,683.3333333333334
3,SB,S,B,True,True,False,30,650.0
3,SB,S,S,False,True,False,31,666.6666666666667
3,SB,S,S,False,True,False,32,1200.0
3,BS,S,S,False,True,False,33,583.3333333333334
3,SB,S,B,True,True,False,34,1750.0000000000002
3,BS,S,B,True,True,False,35,916.6666666666669
3,SB,B,B,False,True,False,36,766.6666666666667
3,BS,B,S,True,True,False,37,1116.6666666666667
3,SB,B,S,True,True,False,38,900.0000000000001
3,BS,B,B,False,True,False,39,750.0
4,SB,B,S,True,True,False,0,1733.3333333333337
4,SB,B,B,False,True,False,1,983.3333333333334
4,BS,B,S,True,True,False,2,1816.6666666666667
4,BS,S,B,True,True,False,3,1233.3333333333337
4,BS,S,S,False,False,False,4,1733.3333333333337
